CHILDCODE	EDCHSTR4	ATDSCHR4	GRDER4	TYSCR4	SMESCHR4	DEPTR4
58028	12	0	 	 	 	 
58028	13	0	 	 	 	 
58029	9	0	 	 	 	 
58029	10	0	 	 	 	 
58029	11	0	 	 	 	 
58029	12	0	 	 	 	 
58029	13	0	 	 	 	 
58030	9	1	8	4	1	 
58030	10	1	9	4	1	 
58030	11	1	10	4	1	 
58030	12	1	11	4	1	 
58030	13	0	 	 	 	 
68001	9	1	10	4	1	 
68001	10	1	11	4	1	 
68001	11	1	15	1	0	22
68001	12	1	15	1	1	 
68001	13	1	15	1	1	 
68002	9	1	9	4	1	 
68002	10	1	10	4	1	 
68002	11	1	11	4	1	 
68002	12	1	15	4	0	22
68002	13	1	15	4	1	 
68003	9	1	9	1	0	13
68003	10	1	10	1	1	 
68003	11	1	11	1	1	 
68003	12	0	 	 	 	 
68003	13	0	 	 	 	 
68004	9	1	9	4	1	 
68004	10	1	10	4	1	 
68004	11	1	11	4	1	 
68004	12	0	 	 	 	 
68004	13	1	15	4	0	22
68005	9	1	9	4	1	 
68005	10	1	10	4	1	 
68005	11	1	11	4	1	 
68005	12	1	13	1	0	22
68005	13	0	 	 	 	 
68006	9	1	9	4	1	 
68006	10	1	10	4	1	 
68006	11	1	11	4	1	 
68006	12	0	 	 	 	 
68006	13	1	15	4	0	22
68007	9	1	10	4	1	 
68007	10	1	11	4	1	 
68007	11	1	13	1	0	15
68007	12	1	13	1	1	 
68007	13	1	13	1	0	22
68008	9	1	10	4	1	 
68008	10	1	11	4	1	 
68008	11	0	 	 	 	 
68008	12	1	13	4	0	22
68008	13	1	13	4	1	 
68009	9	1	9	4	0	22
68009	10	1	10	4	0	22
68009	11	1	11	4	1	 
68009	12	1	13	4	0	22
68009	13	1	15	4	0	22
68010	9	1	9	4	1	 
68010	10	1	10	4	1	 
68010	11	1	11	4	1	 
68010	12	1	15	1	1	 
68010	13	1	15	1	1	 
68011	9	1	9	4	1	 
68011	10	1	10	4	1	 
68011	11	1	11	4	1	 
68011	12	1	13	1	0	22
68011	13	0	 	 	 	 
68012	9	1	10	1	1	 
68012	10	1	11	1	0	22
68012	11	0	 	 	 	 
68012	12	0	 	 	 	 
68012	13	0	 	 	 	 
68013	9	1	10	4	1	 
68013	10	1	11	4	1	 
68013	11	0	 	 	 	 
68013	12	0	 	 	 	 
68013	13	1	13	1	0	22
68015	9	1	9	4	1	 
68015	10	0	 	 	 	 
68015	11	0	 	 	 	 
68015	12	0	 	 	 	 
68015	13	0	 	 	 	 
68016	9	1	10	4	1	 
68016	10	1	11	4	1	 
68016	11	1	15	4	0	22
68016	12	1	15	4	1	 
68016	13	1	15	4	1	 
68017	9	1	10	4	1	 
68017	10	1	11	4	1	 
68017	11	0	 	 	 	 
68017	12	0	 	 	 	 
68017	13	0	 	 	 	 
68018	9	1	9	4	1	 
68018	10	1	10	4	1	 
68018	11	1	11	4	1	 
68018	12	1	13	1	0	22
68018	13	0	 	 	 	 
68019	9	1	9	4	1	 
68019	10	1	10	4	1	 
68019	11	1	11	4	1	 
68019	12	1	15	1	0	22
68019	13	1	15	1	1	 
68020	9	1	9	4	1	 
68020	10	1	10	4	1	 
