CHILDCODE	EDCHSTR5	GRDER5	CMPGRDR5	TYSCR5	SMESCHR5	PROVR5	DSSCR5	COD_MOD	ANEXO	NMSCSCR5	NIV_MOD	D_NIV_MOD	GESTION	D_GESTION	GES_DEP	D_GES_DEP	COD_ENAHO	TYSCR5_C	NMSCLSR5_C
28022	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28022	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28022	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28023	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28023	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28023	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28023	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28024	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28024	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28024	15	13	 	1	0	 	 	 	 	 	 	 	 	 	 	 	 	1	 
28024	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28025	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28025	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28025	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28025	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38001	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38001	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38001	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38001	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38002	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38002	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38002	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38002	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38003	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38003	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38003	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38003	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38004	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38004	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38004	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38004	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38005	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38005	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38005	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38005	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38006	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38006	14	13	 	1	0	 	 	 	 	 	 	 	 	 	 	 	 	1	 
38006	15	13	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
38006	16	13	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
38008	13	13	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
38008	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38008	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38008	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38010	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38010	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38010	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38010	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38011	13	15	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
38011	14	15	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
