CHILDCODE	LANGIDR5	LNCNSPR5	LNSPKR5	LNREADR5	LNWRTER5
101019	2	5	2	2	3
101020	1	1	2	3	3
101020	2	2	1	1	1
101020	3	5	2	5	5
101020	4	7	1	2	2
101021	1	1	1	1	1
101021	2	7	3	2	2
101021	3	5	2	4	4
101023	1	2	2	2	3
101023	2	1	2	3	3
101023	3	7	2	2	2
101024	1	1	1	1	2
101024	2	7	2	2	2
101024	3	5	3	3	3
101024	4	3	3	5	5
101025	1	1	1	1	1
101025	2	7	3	2	2
101025	3	5	2	3	3
101026	1	1	1	1	1
101026	2	5	3	3	3
101026	3	7	3	3	3
101027	1	1	1	1	1
101027	2	7	2	2	2
101027	3	2	1	2	5
101027	4	5	2	2	3
101028	1	1	1	1	1
101028	2	5	1	2	3
101028	3	7	3	2	3
101030	1	5	1	2	2
101030	2	1	1	3	3
101030	3	7	3	3	3
101031	1	1	1	2	1
101031	2	7	2	2	4
101032	1	1	2	2	3
101032	2	1	2	5	5
101033	1	1	1	1	1
101033	2	2	1	3	5
101033	3	5	1	1	1
101033	4	7	2	2	2
101034	1	1	1	1	1
101034	2	7	1	2	2
101034	3	5	4	3	4
101035	1	1	1	2	2
101035	2	5	1	5	5
101035	3	3	2	4	5
101035	4	7	4	4	3
101038	1	1	1	1	1
101038	2	7	2	2	2
101038	3	5	2	2	2
101039	1	1	1	4	4
101040	1	1	1	1	1
101040	2	2	1	2	3
101041	1	1	1	1	1
101041	2	7	3	2	2
101041	3	5	2	3	3
101042	1	1	1	1	1
101042	2	7	3	2	3
101042	3	5	1	3	3
101043	1	1	1	3	3
101043	2	7	5	4	4
101043	3	5	3	5	5
101044	1	1	3	3	4
101044	2	7	5	5	4
101045	1	1	1	2	2
101045	2	7	5	4	3
101045	3	5	3	5	4
101047	1	1	1	1	1
101047	2	7	4	3	2
101047	3	5	3	5	5
101048	1	1	2	2	2
101048	2	7	5	4	4
101049	1	1	2	3	3
101050	1	1	2	2	2
101050	2	7	4	3	3
111001	1	1	1	1	1
111001	2	7	3	2	2
111001	3	5	5	3	4
111001	4	3	4	5	5
111002	1	1	1	2	2
111002	2	3	2	4	5
111002	3	5	3	5	5
111003	1	1	1	2	2
111003	2	3	1	5	5
111004	1	1	1	4	4
111004	2	3	2	5	5
111004	3	5	3	5	5
111005	1	1	1	3	4
111006	1	1	2	5	5
111007	1	1	1	5	5
111007	2	5	4	5	5
111008	1	1	1	4	4
111009	1	1	1	1	2
111009	2	7	2	2	2
111009	3	5	4	4	4
111010	1	1	2	4	4
111011	1	1	1	1	1
111011	2	7	5	2	3
111011	3	5	5	2	2
111012	1	1	1	1	1
111012	2	3	1	5	5
111012	3	5	4	4	4
111012	4	7	4	3	2
111013	1	1	1	1	1
111013	2	7	3	1	1
111013	3	6	4	5	5
111013	4	5	5	3	3
111014	1	1	1	1	2
111014	2	7	4	3	3
111014	3	5	4	4	4
111015	1	1	1	1	1
111015	2	7	4	3	3
111016	1	1	1	2	2
111016	2	3	1	5	5
111017	1	1	1	1	1
111017	2	3	1	3	5
111017	3	5	4	2	2
111017	4	7	4	2	2
111018	1	1	1	2	2
111018	2	7	5	2	2
111019	1	1	1	1	1
111020	1	1	1	4	4
111021	1	1	1	5	5
111021	2	5	1	5	5
111022	1	1	1	2	1
111023	1	1	1	1	1
111023	2	7	4	2	2
111023	3	5	5	2	2
111024	1	1	1	4	4
111025	1	1	1	4	4
111026	1	1	1	1	1
111026	2	7	5	4	4
111027	1	1	1	3	3
111029	1	1	1	1	1
111029	2	7	2	2	2
111029	3	5	2	2	2
111030	1	1	2	2	2
111030	2	7	3	2	2
111031	1	1	1	1	1
111031	2	7	4	4	4
111032	1	1	1	2	2
111032	2	7	5	4	4
111033	1	1	1	1	1
111033	2	7	4	4	4
111033	3	3	2	4	4
